iter,ndim,query_msecs
0,512,37.810087204
1,512,57.0449829102
2,512,68.9821243286
3,512,65.3729438782
4,512,71.967124939
5,512,71.151971817
6,512,83.3659172058
7,512,88.6878967285
8,512,82.2310447693
9,512,100.116014481
10,512,102.530002594
11,512,116.02306366
12,512,147.715091705
13,512,153.081893921
14,512,164.100170135
15,512,144.054889679
16,512,126.65605545
17,512,119.776010513
18,512,120.186090469
19,512,135.251045227
20,512,144.906997681
21,512,146.153926849
22,512,158.677101135
23,512,149.912118912
24,512,176.85508728
25,512,164.901971817
26,512,155.251026154
27,512,166.203975677
28,512,160.047054291
29,512,192.605018616
30,512,187.777042389
31,512,202.852964401
32,512,184.503078461
33,512,198.605060577
34,512,210.588216782
35,512,212.059020996
36,512,205.84821701
37,512,210.973978043
38,512,212.430953979
39,512,223.451852798
40,512,237.278938293
41,512,232.880115509
42,512,219.783782959
43,512,248.017072678
44,512,251.034975052
45,512,254.429101944
46,512,230.075836182
47,512,264.733076096
48,512,316.428899765
49,512,320.983171463
50,512,308.464050293
51,512,268.517017365
52,512,257.776975632
53,512,306.051015854
54,512,298.564910889
55,512,259.159088135
56,512,313.472032547
57,512,306.021928787
58,512,333.242893219
59,512,313.638925552
60,512,308.954000473
61,512,313.570976257
62,512,347.841978073
63,512,324.960947037
64,512,310.660839081
65,512,335.698127747
66,512,327.951908112
67,512,357.072114944
68,512,362.313985825
69,512,384.821176529
70,512,375.502824783
71,512,382.498979568
72,512,359.735012054
73,512,340.162038803
74,512,464.931964874
75,512,461.420059204
76,512,384.891986847
77,512,408.836126328
78,512,487.663984299
79,512,355.975866318
80,512,408.048868179
81,512,371.604919434
82,512,410.216093063
83,512,395.006895065
84,512,428.722858429
85,512,430.844783783
86,512,438.146114349
87,512,434.099912643
88,512,443.675041199
89,512,435.089111328
90,512,494.651079178
91,512,405.860185623
92,512,422.591209412
93,512,416.678905487
94,512,482.043981552
95,512,506.114006042
96,512,489.459991455
97,512,498.805999756
98,512,541.754007339
99,512,459.930896759
0,256,26.2429714203
1,256,29.550075531
2,256,32.2701931
3,256,43.5910224915
4,256,50.1029491425
5,256,50.9569644928
6,256,54.0509223938
7,256,52.9890060425
8,256,53.5399913788
9,256,59.1628551483
10,256,63.1699562073
11,256,59.8011016846
12,256,55.5098056793
13,256,62.0439052582
14,256,72.6289749146
15,256,64.4509792328
16,256,79.5338153839
17,256,75.492143631
18,256,72.4999904633
19,256,70.2459812164
20,256,83.3711624146
21,256,79.204082489
22,256,84.4850540161
23,256,80.5101394653
24,256,75.9339332581
25,256,95.7138538361
26,256,153.93781662
27,256,126.389026642
28,256,134.392023087
29,256,136.518955231
30,256,134.663820267
31,256,113.167047501
32,256,120.338916779
33,256,107.069969177
34,256,94.8400497437
35,256,97.4700450897
36,256,117.821931839
37,256,106.813192368
38,256,115.551948547
39,256,118.943929672
40,256,112.661838531
41,256,129.040002823
42,256,122.627019882
43,256,133.389949799
44,256,135.110139847
45,256,164.651155472
46,256,134.775876999
47,256,152.336835861
48,256,144.586086273
49,256,134.338140488
50,256,145.248889923
51,256,145.290136337
52,256,158.156871796
53,256,150.684833527
54,256,154.217004776
55,256,137.483119965
56,256,167.770862579
57,256,150.57516098
58,256,163.708925247
59,256,184.625864029
60,256,166.902065277
61,256,182.126998901
62,256,172.407150269
63,256,243.261098862
64,256,180.823087692
65,256,165.896892548
66,256,192.903995514
67,256,181.173086166
68,256,178.010940552
69,256,190.490007401
70,256,185.66608429
71,256,190.164089203
72,256,180.995225906
73,256,211.477041245
74,256,204.763174057
75,256,181.4661026
76,256,180.603027344
77,256,190.26017189
78,256,214.380025864
79,256,223.026990891
80,256,225.562095642
81,256,216.101884842
82,256,206.700086594
83,256,205.65700531
84,256,235.702991486
85,256,197.789907455
86,256,209.295034409
87,256,211.429834366
88,256,216.258049011
89,256,237.861871719
90,256,238.064050674
91,256,226.130008698
92,256,226.547956467
93,256,228.514909744
94,256,255.488872528
95,256,261.05594635
96,256,274.621009827
97,256,260.336875916
98,256,256.291151047
99,256,276.600122452
0,128,17.0619487762
1,128,24.7569084167
2,128,30.7898521423
3,128,27.0540714264
